	Adresa městského úřadu	Adresa obecního úřadu	Adresa úřadu městyse	Historická země	Jmeno	Katastrální výměra	Katastrální území	Kraj (NUTS 3)	LAU (obec)	Nadmořská výška	Obec s rozšířenou působností	Obec s rozšířenou působností a pověřená obec	Okres (LAU 1)	PSČ	Pověřená obec	Počet obyvatel	Starosta	Status	Zeměpisné souřadnice	Zákl. sídelní jednotky	Části obce
0		Dobřív 30533844 Dobřív		Čechy	Dobřív	27,12 km²	3	Plzeňský (CZ032)	CZ0326 559776	417 m n. m.		Rokycany	Rokycany (CZ0326)	338 44		1 264 (2018)[1] (e)	Jiří Ondřejíček	obec	49°42′57″ s. š., 13°41′13″ v. d.	2	2
1		Bezděkov 8338 24 Břasy 1		Čechy	Bezděkov (okres Rokycany)	1,2 km²	1	Plzeňský (CZ032)	CZ0326 541095	468 m n. m.	Rokycany		Rokycany (CZ0326)	338 24	Radnice	137 (2018)[1] (e)	Josef Král	obec	49°49′28″ s. š., 13°35′48″ v. d.	1	1
2		Břasy 350338 24 Břasy 1		Čechy	Břasy	21,5 km²	4	Plzeňský (CZ032)	CZ0326 559725	458 m n. m.	Rokycany		Rokycany (CZ0326)	338 24	Radnice	2 290 (2018)[1] (e)	Ing. Mgr. Miroslav Kroc	obec	49°50′14″ s. š., 13°34′42″ v. d.	7	5
3		Březina 8833824 Břasy 1		Čechy	Březina (okres Rokycany)	7,62 km²	1	Plzeňský (CZ032)	CZ0326 559733	483 m n. m.		Rokycany	Rokycany (CZ0326)	338 24		357 (2018)[1] (e)	Radek Aubrecht	obec	49°48′27″ s. š., 13°35′49″ v. d.	1	1
4		Bujesily 133141 Kralovice		Čechy	Bujesily	6,2 km²	1	Plzeňský (CZ032)	CZ0326 559741	345 m n. m.	Rokycany		Rokycany (CZ0326)	338 28	Radnice	60 (2018)[1] (e)	Ing. Pavel Trepeš	obec	49°54′53″ s. š., 13°34′28″ v. d.	1	1
5		Sedlecko 48Bušovice338 24 Břasy 1		Čechy	Bušovice	11,2 km²	3	Plzeňský (CZ032)	CZ0326 559750	380 m n. m.		Rokycany	Rokycany (CZ0326)	338 23		596 (2018)[1] (e)	Mgr. Luboš Pták	obec	49°47′44″ s. š., 13°32′5″ v. d.	3	3
6		Cekov 2333808 Zbiroh		Čechy	Cekov	4,29 km²	1	Plzeňský (CZ032)	CZ0326 559768	463 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	Zbiroh	130 (2018)[1] (e)	Josef Holub	obec	49°49′19″ s. š., 13°45′50″ v. d.	1	1
7		Čilá 633808 Zbiroh		Čechy	Čilá	1,9 km²	1	Plzeňský (CZ032)	CZ0326 540927	332 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	Zbiroh	16 (2018)[1] (e)	František Hájek	obec	49°57′42″ s. š., 13°44′32″ v. d.	1	1
8		Drahoňův Újezd 20338 08 Zbiroh		Čechy	Drahoňův Újezd	13,99 km²	1	Plzeňský (CZ032)	CZ0326 530379	410 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	Zbiroh	132 (2018)[1] (e)	Hana Brabcová	obec	49°52′38″ s. š., 13°43′33″ v. d.	1	1
9		Ejpovice 24337 01 Rokycany 1		Čechy	Ejpovice	7,69 km²	1	Plzeňský (CZ032)	CZ0326 559792	347 m n. m.		Rokycany	Rokycany (CZ0326)	337 01		676 (2018)[1] (e)	Jaromír Kalčík	obec	49°44′46″ s. š., 13°30′52″ v. d.	1	1
10		Hlohovice 80338 08 Zbiroh		Čechy	Hlohovice	18,11 km²	4	Plzeňský (CZ032)	CZ0326 559806	432 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	Radnice	320 (2018)[1] (e)	Marie Pflégrová	obec	49°53′22″ s. š., 13°38′36″ v. d.	4	4
11		Holoubkov 4833801 Holoubkov		Čechy	Holoubkov	4,21 km²	1	Plzeňský (CZ032)	CZ0326 559814	432 m n. m.		Rokycany	Rokycany (CZ0326)	338 01		1 435 (2018)[1] (e)	Ing. Lukáš Fišer	obec	49°46′34″ s. š., 13°41′33″ v. d.	1	1
12	Náměstí 8. května 270Nová Huť33842 Hrádek u Rokycan			Čechy	Hrádek (okres Rokycany)	6,05 km²	2	Plzeňský (CZ032)	CZ0326 559822	440 m n. m.		Rokycany	Rokycany (CZ0326)	338 42		2 850 (2018)[1] (e)	Jaroslav Perlík	město	49°42′36″ s. š., 13°39′15″ v. d.	2	2
13		Hradiště 3433808 Zbiroh		Čechy	Hradiště (okres Rokycany)	2,83 km²	1	Plzeňský (CZ032)	CZ0326 541001	317 m n. m.	Rokycany		Rokycany (CZ0326)	338 08 až 338 13	Zbiroh	30 (2018)[1] (e)	Pavel Šubrt	obec	49°57′47″ s. š., 13°43′4″ v. d.	1	1
14		Hůrky 5033701 Rokycany 1		Čechy	Hůrky	12,07 km²	1	Plzeňský (CZ032)	CZ0326 559849	469 m n. m.		Rokycany	Rokycany (CZ0326)	338 01		234 (2018)[1] (e)	Martin Polák	obec	49°44′45″ s. š., 13°40′59″ v. d.	1	1
15		Cheznovice 1633806 Cheznovice		Čechy	Cheznovice	7,8 km²	1	Plzeňský (CZ032)	CZ0326 559857	472 m n. m.		Rokycany	Rokycany (CZ0326)	338 06		731 (2018)[1] (e)	Josef Kolář	obec	49°46′44″ s. š., 13°47′8″ v. d.	1	1
16		Chlum 5533808 Zbiroh		Čechy	Chlum (okres Rokycany)	8,52 km²	1	Plzeňský (CZ032)	CZ0326 540803	441 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	Radnice	45 (2018)[1] (e)	Jiří Rys	obec	49°56′9″ s. š., 13°39′35″ v. d.	1	1
17		Chomle 19338 28 Radnice u Rokycan		Čechy	Chomle	2,24 km²	1	Plzeňský (CZ032)	CZ0326 541141	452 m n. m.	Rokycany		Rokycany (CZ0326)	338 28	Radnice	63 (2018)[1] (e)	Jiří Mareš	obec	49°51′45″ s. š., 13°38′4″ v. d.	1	1
18		Kakejcov 333843 Mirošov 1		Čechy	Kakejcov	1,86 km²	1	Plzeňský (CZ032)	CZ0326 579017	518 m n. m.		Rokycany	Rokycany (CZ0326)	338 43		102 (2018)[1] (e)	Josef Brožík	obec	49°40′1″ s. š., 13°37′27″ v. d.	2	1
19		Kamenec 733828 Radnice u Rokycan		Čechy	Kamenec (okres Rokycany)	1,75 km²	1	Plzeňský (CZ032)	CZ0326 566811	362 m n. m.	Rokycany		Rokycany (CZ0326)	338 28	Radnice	67 (2018)[1] (e)	Ivan Zeman	obec	49°52′52″ s. š., 13°35′47″ v. d.	1	1
20		Kamenný Újezd 18337 01 Rokycany 1		Čechy	Kamenný Újezd (okres Rokycany)	7,73 km²	1	Plzeňský (CZ032)	CZ0326 541150	378 m n. m.		Rokycany	Rokycany (CZ0326)	337 01 až 338 42		815 (2018)[1] (e)	Klára Macková	obec	49°43′26″ s. š., 13°37′8″ v. d.	1	2
21		Kařez 28338 08 Zbiroh		Čechy	Kařez	5,86 km²	1	Plzeňský (CZ032)	CZ0326 559903	452 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	Zbiroh	674 (2018)[1] (e)	Václav Krofta	obec	49°49′28″ s. š., 13°46′54″ v. d.	4	1
